I1,I2,N1,N2,N3
0.017967,0.017967,0.027539,0.94074,1.0
0.018641,0.018641,0.028464,0.9388,1.0
0.019257,0.019257,0.029325,0.93785,1.0
0.019817,0.019817,0.030134,0.93661,1.0
0.020326,0.020326,0.030892,0.93499,1.0
0.020787,0.020787,0.031603,0.93626,1.0
0.0212,0.0212,0.032264,0.94103,1.0
0.021569,0.021569,0.032874,0.95031,1.0
0.021894,0.021894,0.033431,0.96475,1.0
0.022176,0.022176,0.03393,0.97803,1.0
0.022416,0.022416,0.034367,0.9878,1.0
0.022612,0.022612,0.034733,0.99411,1.0
0.022761,0.022761,0.035015,0.99695,1.0
0.022856,0.022856,0.035196,0.99828,1.0
0.022889,0.022889,0.035258,0.99872,1.0
2.8278e-06,2.8278e-06,0.0,0.5,1.0
4.771e-05,4.771e-05,0.00027673,0.99984,1.0
0.0004892,0.0004892,0.0014875,0.99985,1.0
0.0022834,0.0022834,0.0046358,0.99989,1.0
0.0059488,0.0059488,0.009936,0.99989,1.0
0.010364,0.010364,0.015709,0.99941,1.0
0.014168,0.014168,0.021011,0.9978,1.0
0.017139,0.017139,0.02612,0.99494,1.0
0.019591,0.019591,0.03081,0.9908,1.0
0.02176,0.02176,0.035022,0.98544,1.0
0.023742,0.023742,0.038791,0.97956,1.0
0.02557,0.02557,0.04218,0.97388,1.0
0.02725,0.02725,0.045252,0.96835,1.0
0.028784,0.028784,0.048058,0.96256,1.0
0.030177,0.030177,0.050634,0.9552,1.0
0.031431,0.031431,0.053004,0.94631,1.0
0.032554,0.032554,0.055184,0.93915,1.0
0.033558,0.033558,0.057193,0.93321,1.0
0.034457,0.034457,0.059032,0.92846,1.0
0.035262,0.035262,0.060712,0.92618,1.0
0.035982,0.035982,0.062266,0.92462,1.0
0.036623,0.036623,0.063716,0.92354,1.0
0.03719,0.03719,0.065069,0.92264,1.0
0.03769,0.03769,0.066331,0.92506,1.0
0.038128,0.038128,0.067501,0.93182,1.0
0.038509,0.038509,0.068577,0.94268,1.0
0.038836,0.038836,0.069556,0.95898,1.0
0.039114,0.039114,0.070433,0.97457,1.0
0.039344,0.039344,0.0712,0.98548,1.0
0.039529,0.039529,0.071842,0.99265,1.0
0.039666,0.039666,0.072335,0.996,1.0
0.039753,0.039753,0.07265,0.99722,1.0
0.039783,0.039783,0.072759,0.99768,1.0
4.2475e-06,4.2475e-06,0.0,0.5,1.0
7.162e-05,7.162e-05,0.00039531,0.99918,1.0
0.0007304,0.0007304,0.0021419,0.99922,1.0
0.0036358,0.0036358,0.006765,0.99932,1.0
0.010364,0.010364,0.015709,0.99941,1.0
0.019166,0.019166,0.028176,0.99843,1.0
0.026395,0.026395,0.039794,0.99469,1.0
0.030868,0.030868,0.048972,0.98776,1.0
0.033563,0.033563,0.056996,0.97824,1.0
0.035459,0.035459,0.063892,0.96707,1.0
